SNS number;VaccineName;Dose;LotNumber;ScheduledDateTime;ArrivalDateTime;NurseAdministrationDateTime;LeavingDateTime
161593889;Spikevax;Primeira;21C16-05;5/30/2022 9:30;5/30/2022 9:19;5/30/2022 10:08;5/30/2022 10:47
161598001;Spikevax;Primeira;21C16-05;5/30/2022 16:00;5/30/2022 16:09;5/30/2022 16:23;5/30/2022 17:00
161596056;Spikevax;Primeira;21C16-05;5/30/2022 13:00;5/30/2022 12:58;5/30/2022 13:12;5/30/2022 13:46
161596616;Spikevax;Primeira;21C16-05;5/30/2022 14:00;5/30/2022 14:25;5/30/2022 15:11;5/30/2022 15:45
161597533;Spikevax;Primeira;21C16-05;5/30/2022 15:30;5/30/2022 15:50;5/30/2022 16:37;5/30/2022 17:12
161596313;Spikevax;Primeira;21C16-05;5/30/2022 13:30;5/30/2022 13:59;5/30/2022 14:46;5/30/2022 15:21
161599370;Spikevax;Primeira;21C16-05;5/30/2022 18:15;5/30/2022 17:52;5/30/2022 18:36;5/30/2022 19:11
161595362;Spikevax;Primeira;21C16-05;5/30/2022 11:30;5/30/2022 11:27;5/30/2022 11:45;5/30/2022 12:20
161598449;Spikevax;Primeira;21C16-05;5/30/2022 16:45;5/30/2022 17:06;5/30/2022 17:46;5/30/2022 18:17
161593279;Spikevax;Primeira;21C16-05;5/30/2022 8:15;5/30/2022 8:38;5/30/2022 9:20;5/30/2022 9:58
